Disease,Symptoms,Severity,Precautions,Diet_Recommendations,Description
Diabetic Ketoacidosis,eye pain;nasal congestion;paralysis;wheezing,Moderate,Regular medical follow-up and monitoring required,Balanced nutrition with adequate protein and vitamins,Serious endocrine condition with potential complications
Hyperosmolar Hyperglycemic State,runny nose;limited mobility;sputum production,Severe,Urgent specialist consultation required,Adequate hydration and nutrient-dense foods,Serious endocrine condition with potential complications
Hypoglycemia,chills;swelling;wheezing;redness;swelling,Moderate,Regular medical follow-up and monitoring required,"High fiber, low processed food diet",Complex endocrine disorder affecting quality of life
Hyperthyroidism,tinnitus;depression;floaters;fatigue,Mild,Primary care consultation if symptoms persist,Anti-inflammatory diet rich in omega-3 fatty acids,Serious endocrine condition with potential complications
Hypothyroidism,sputum production;hoarse voice;paralysis;painful urination;weakness;cold extremities;diarrhea,Mild,Lifestyle modifications and preventive measures,Probiotic foods and gut-healthy nutrition,endocrine condition requiring medical management
Thyroid Cancer,back pain;wheezing;floaters;cold extremities;fever;seizures,Severe,Emergency intervention and life support may be necessary,Diabetic-friendly low glycemic index foods,Acute endocrine condition needing prompt treatment
Thyroid Nodules,tinnitus;night sweats;palpitations;weakness;back pain;difficulty swallowing;kidney pain,Severe,Emergency intervention and life support may be necessary,"Soft diet with small, frequent meals",Serious endocrine condition with potential complications
Goiter,leg pain;mood changes;diarrhea,Severe,Immediate emergency medical attention required,"Soft diet with small, frequent meals",Acute endocrine condition needing prompt treatment
Graves Disease,painful urination;wheezing;vomiting;seizures;runny nose,Severe,Immediate emergency medical attention required,Iron-rich foods with vitamin C enhancement,Serious endocrine condition with potential complications
Hashimoto Thyroiditis,bloating;skin lesions;limited mobility;nausea;vomiting,Severe,Hospitalization and intensive monitoring needed,Anti-inflammatory diet rich in omega-3 fatty acids,Serious endocrine condition with potential complications
Subacute Thyroiditis,sensitivity to light;tinnitus;depression,Severe,Urgent specialist consultation required,Anti-inflammatory diet rich in omega-3 fatty acids,Serious endocrine condition with potential complications
Hyperparathyroidism,nausea;dry eyes;tingling;irritability;hoarse voice;fever,Mild,Primary care consultation if symptoms persist,"Soft diet with small, frequent meals",Serious endocrine condition with potential complications
Hypoparathyroidism,numbness;night sweats;anxiety;mood changes;depression;blood in urine,Severe,Urgent specialist consultation required,Adequate hydration and nutrient-dense foods,Complex endocrine disorder affecting quality of life
Osteomalacia,hemoptysis;weight loss;swelling,Severe,Hospitalization and intensive monitoring needed,"Low sodium, heart-healthy Mediterranean diet",Chronic endocrine disease requiring ongoing care
Rickets,hoarse voice;nasal congestion;sensitivity to light,Mild,Self-care measures and symptom monitoring,Balanced nutrition with adequate protein and vitamins,Chronic endocrine disease requiring ongoing care
Addison Disease,ear pain;tremor;frequent urination;weight gain,Mild,Lifestyle modifications and preventive measures,Calcium and vitamin D rich foods,Serious endocrine condition with potential complications
Cushing Syndrome,skin lesions;weight loss;neck pain;muscle pain;sleep problems;tingling,Severe,Urgent specialist consultation required,Calcium and vitamin D rich foods,Complex endocrine disorder affecting quality of life
Pheochromocytoma,weight loss;painful urination;dry skin;bloating,Severe,Hospitalization and intensive monitoring needed,Anti-inflammatory diet rich in omega-3 fatty acids,Acute endocrine condition needing prompt treatment
Hyperaldosteronism,kidney pain;runny nose;blood in urine;skin rash;redness;fatigue,Moderate,Regular diagnostic testing and assessment required,Calcium and vitamin D rich foods,Complex endocrine disorder affecting quality of life
Polycystic Ovary Syndrome,hearing loss;dry eyes;wheezing;skin rash;tingling;kidney pain,Moderate,Regular diagnostic testing and assessment required,Diabetic-friendly low glycemic index foods,endocrine condition requiring medical management
Hirsutism,eye pain;chills;swelling;dizziness,Mild,Primary care consultation if symptoms persist,Adequate hydration and nutrient-dense foods,endocrine condition requiring medical management
Gynecomastia,cough;painful urination;runny nose;anxiety;ear pain;concentration problems,Moderate,Regular medical follow-up and monitoring required,Iron-rich foods with vitamin C enhancement,endocrine condition requiring medical management
Hypogonadism,paralysis;tinnitus;nasal congestion;wheezing;sputum production,Severe,Urgent specialist consultation required,Adequate hydration and nutrient-dense foods,Chronic endocrine disease requiring ongoing care
Growth Hormone Deficiency,diarrhea;loss of appetite;dry skin;sneezing,Mild,Over-the-counter medications and rest,Iron-rich foods with vitamin C enhancement,Acute endocrine condition needing prompt treatment
Acromegaly,pelvic pain;runny nose;fatigue;concentration problems,Severe,Hospitalization and intensive monitoring needed,Iron-rich foods with vitamin C enhancement,Acute endocrine condition needing prompt treatment
Prolactinoma,neck pain;chest pain;weakness,Moderate,Medication compliance and lifestyle modifications needed,"Low sodium, heart-healthy Mediterranean diet",Chronic endocrine disease requiring ongoing care
Diabetes Insipidus,hoarse voice;swelling;muscle pain;joint pain;wheezing,Moderate,Regular diagnostic testing and assessment required,"Soft diet with small, frequent meals",Acute endocrine condition needing prompt treatment
Osteoarthritis,night sweats;kidney pain;eye pain;limited mobility,Mild,Self-care measures and symptom monitoring,"High fiber, low processed food diet",Acute musculoskeletal condition needing prompt treatment
Rheumatoid Arthritis,nasal congestion;blood in urine;hoarse voice;kidney pain;leg pain,Mild,Self-care measures and symptom monitoring,"High fiber, low processed food diet",Complex musculoskeletal disorder affecting quality of life
Psoriatic Arthritis,swelling;confusion;difficulty swallowing,Moderate,Regular diagnostic testing and assessment required,Calcium and vitamin D rich foods,Serious musculoskeletal condition with potential complications
Ankylosing Spondylitis,nausea;chest pain;itching;headache;difficulty breathing;cough;palpitations,Severe,Immediate emergency medical attention required,Probiotic foods and gut-healthy nutrition,Acute musculoskeletal condition needing prompt treatment
Gout,sneezing;cold extremities;blood in urine;runny nose;back pain;frequent urination;sputum production,Moderate,Specialist consultation recommended,Anti-inflammatory diet rich in omega-3 fatty acids,Serious musculoskeletal condition with potential complications
Pseudogout,constipation;anxiety;headache;floaters;dry eyes;hoarse voice,Moderate,Medication compliance and lifestyle modifications needed,Diabetic-friendly low glycemic index foods,Complex musculoskeletal disorder affecting quality of life
Systemic Lupus Erythematosus,bruising;shortness of breath;chills;cold extremities;weight gain,Mild,Lifestyle modifications and preventive measures,Probiotic foods and gut-healthy nutrition,Acute musculoskeletal condition needing prompt treatment
Scleroderma,leg pain;irritability;vision loss;fatigue;back pain,Moderate,Regular diagnostic testing and assessment required,Iron-rich foods with vitamin C enhancement,Complex musculoskeletal disorder affecting quality of life
Polymyositis,swelling;hearing loss;bleeding;chest tightness;hemoptysis,Moderate,Regular medical follow-up and monitoring required,Calcium and vitamin D rich foods,musculoskeletal condition requiring medical management
Dermatomyositis,concentration problems;weight gain;depression;kidney pain;abdominal pain;swelling,Moderate,Regular diagnostic testing and assessment required,Diabetic-friendly low glycemic index foods,musculoskeletal condition requiring medical management
Fibromyalgia,neck pain;paralysis;tingling;nasal congestion,Mild,Self-care measures and symptom monitoring,"Soft diet with small, frequent meals",musculoskeletal condition requiring medical management
Polymyalgia Rheumatica,weakness;skin rash;tinnitus,Severe,Hospitalization and intensive monitoring needed,Calcium and vitamin D rich foods,Chronic musculoskeletal disease requiring ongoing care
Giant Cell Arteritis,runny nose;weight gain;vomiting;weight loss;abdominal pain;swelling;chest tightness,Moderate,Regular medical follow-up and monitoring required,Iron-rich foods with vitamin C enhancement,Chronic musculoskeletal disease requiring ongoing care
Osteoporosis,palpitations;watery eyes;hemoptysis;incontinence;sore throat,Moderate,Medication compliance and lifestyle modifications needed,Calcium and vitamin D rich foods,musculoskeletal condition requiring medical management
Osteopenia,headache;bloating;heartburn;memory loss;difficulty swallowing;night sweats;weight gain,Moderate,Medication compliance and lifestyle modifications needed,Diabetic-friendly low glycemic index foods,musculoskeletal condition requiring medical management
Paget Disease,headache;constipation;ear pain;chest tightness;diarrhea;sputum production;skin lesions,Mild,Over-the-counter medications and rest,Balanced nutrition with adequate protein and vitamins,Acute musculoskeletal condition needing prompt treatment
Osteosarcoma,mood changes;vision loss;cough;skin rash,Severe,Immediate emergency medical attention required,"Low sodium, heart-healthy Mediterranean diet",musculoskeletal condition requiring medical management
Chondrosarcoma,paralysis;difficulty breathing;abdominal pain;anxiety,Severe,Emergency intervention and life support may be necessary,Adequate hydration and nutrient-dense foods,Serious musculoskeletal condition with potential complications
Ewing Sarcoma,paralysis;swelling;loss of appetite;depression;weakness;nasal congestion;tinnitus,Severe,Hospitalization and intensive monitoring needed,"Soft diet with small, frequent meals",Serious musculoskeletal condition with potential complications
Multiple Myeloma,confusion;diarrhea;pelvic pain,Severe,Urgent specialist consultation required,"Soft diet with small, frequent meals",Complex musculoskeletal disorder affecting quality of life
Bone Metastases,weight loss;skin rash;loss of appetite;weakness;paralysis;skin lesions;cold extremities,Mild,Over-the-counter medications and rest,"High fiber, low processed food diet",Complex musculoskeletal disorder affecting quality of life
Pathological Fractures,memory loss;itching;tremor,Mild,Over-the-counter medications and rest,Calcium and vitamin D rich foods,musculoskeletal condition requiring medical management
Stress Fractures,concentration problems;bruising;cold extremities;swelling;confusion;heartburn,Mild,Lifestyle modifications and preventive measures,Balanced nutrition with adequate protein and vitamins,Complex musculoskeletal disorder affecting quality of life
Compartment Syndrome,watery eyes;wheezing;weakness,Severe,Hospitalization and intensive monitoring needed,Anti-inflammatory diet rich in omega-3 fatty acids,Acute musculoskeletal condition needing prompt treatment
Rhabdomyolysis,tinnitus;paralysis;dizziness;chills,Mild,Over-the-counter medications and rest,Probiotic foods and gut-healthy nutrition,Serious musculoskeletal condition with potential complications
Myositis,hemoptysis;irritability;confusion;joint pain;memory loss;tremor;chills,Severe,Immediate emergency medical attention required,Calcium and vitamin D rich foods,Complex musculoskeletal disorder affecting quality of life
Tendonitis,dry eyes;skin rash;paralysis;shortness of breath,Severe,Immediate emergency medical attention required,Balanced nutrition with adequate protein and vitamins,Chronic musculoskeletal disease requiring ongoing care
Bursitis,chest tightness;eye pain;stiffness,Severe,Immediate emergency medical attention required,Adequate hydration and nutrient-dense foods,Complex musculoskeletal disorder affecting quality of life
Rotator Cuff Tear,depression;chest pain;ear pain;tingling;irritability;swelling,Severe,Urgent specialist consultation required,"Soft diet with small, frequent meals",Chronic musculoskeletal disease requiring ongoing care
Frozen Shoulder,wheezing;vision loss;vomiting;hoarse voice;stiffness;ear pain,Mild,Primary care consultation if symptoms persist,Calcium and vitamin D rich foods,Serious musculoskeletal condition with potential complications
Tennis Elbow,chest pain;hemoptysis;hearing loss;paralysis,Severe,Urgent specialist consultation required,Probiotic foods and gut-healthy nutrition,Serious musculoskeletal condition with potential complications
Atopic Dermatitis,weight gain;bleeding;skin lesions;weakness;skin rash,Mild,Over-the-counter medications and rest,Adequate hydration and nutrient-dense foods,dermatological condition requiring medical management
Contact Dermatitis,fatigue;dry skin;weakness;night sweats,Severe,Immediate emergency medical attention required,Probiotic foods and gut-healthy nutrition,dermatological condition requiring medical management
Seborrheic Dermatitis,bleeding;itching;night sweats;dry skin;chills,Moderate,Specialist consultation recommended,Calcium and vitamin D rich foods,Acute dermatological condition needing prompt treatment
Psoriasis,skin rash;weakness;bleeding,Severe,Immediate emergency medical attention required,Diabetic-friendly low glycemic index foods,Complex dermatological disorder affecting quality of life
Lichen Planus,dry skin;weight loss;redness;itching;weakness,Severe,Hospitalization and intensive monitoring needed,Balanced nutrition with adequate protein and vitamins,Acute dermatological condition needing prompt treatment
Vitiligo,weakness;bleeding;weight loss;itching;skin lesions;swelling;chills,Severe,Urgent specialist consultation required,Adequate hydration and nutrient-dense foods,Chronic dermatological disease requiring ongoing care
Alopecia Areata,weight loss;weight gain;weakness;fatigue,Mild,Primary care consultation if symptoms persist,Iron-rich foods with vitamin C enhancement,dermatological condition requiring medical management
Androgenetic Alopecia,weakness;weight loss;swelling;bruising;chills;skin lesions,Moderate,Regular diagnostic testing and assessment required,"Low sodium, heart-healthy Mediterranean diet",dermatological condition requiring medical management
Melanoma,redness;bleeding;skin lesions,Mild,Self-care measures and symptom monitoring,"Soft diet with small, frequent meals",Serious dermatological condition with potential complications
Basal Cell Carcinoma,dry skin;chills;redness;loss of appetite;skin lesions;fatigue;skin rash,Severe,Emergency intervention and life support may be necessary,Diabetic-friendly low glycemic index foods,Chronic dermatological disease requiring ongoing care
Squamous Cell Carcinoma,dry skin;weight gain;night sweats;chills,Severe,Emergency intervention and life support may be necessary,Anti-inflammatory diet rich in omega-3 fatty acids,Chronic dermatological disease requiring ongoing care
Actinic Keratosis,dry skin;fever;loss of appetite;skin rash;swelling,Mild,Lifestyle modifications and preventive measures,"High fiber, low processed food diet",Acute dermatological condition needing prompt treatment
Seborrheic Keratosis,redness;fatigue;skin lesions;chills,Moderate,Regular diagnostic testing and assessment required,Probiotic foods and gut-healthy nutrition,Complex dermatological disorder affecting quality of life
Skin Tags,fever;itching;fatigue;swelling;skin lesions;skin rash,Mild,Primary care consultation if symptoms persist,"High fiber, low processed food diet",Complex dermatological disorder affecting quality of life
Lipomas,bruising;chills;fever;weight loss;redness;night sweats,Moderate,Medication compliance and lifestyle modifications needed,Diabetic-friendly low glycemic index foods,Chronic dermatological disease requiring ongoing care
Cysts,fatigue;chills;redness;skin lesions;fever;weakness,Moderate,Regular diagnostic testing and assessment required,Iron-rich foods with vitamin C enhancement,Chronic dermatological disease requiring ongoing care
Hemangiomas,bleeding;bruising;weight loss,Moderate,Regular diagnostic testing and assessment required,"Soft diet with small, frequent meals",dermatological condition requiring medical management
Urticaria,skin lesions;night sweats;loss of appetite;itching,Moderate,Specialist consultation recommended,Balanced nutrition with adequate protein and vitamins,Complex dermatological disorder affecting quality of life
Angioedema,loss of appetite;skin lesions;weight loss;weakness,Severe,Urgent specialist consultation required,Adequate hydration and nutrient-dense foods,Complex dermatological disorder affecting quality of life
Erythema Migrans,loss of appetite;redness;skin lesions,Mild,Over-the-counter medications and rest,"High fiber, low processed food diet",Complex dermatological disorder affecting quality of life
Erythema Nodosum,weakness;fever;chills;weight loss;skin lesions;weight gain,Mild,Primary care consultation if symptoms persist,"High fiber, low processed food diet",Acute dermatological condition needing prompt treatment
Stevens-Johnson Syndrome,itching;bruising;swelling;night sweats,Moderate,Regular diagnostic testing and assessment required,"Low sodium, heart-healthy Mediterranean diet",Acute dermatological condition needing prompt treatment
Toxic Epidermal Necrolysis,night sweats;skin rash;swelling;chills;skin lesions;weight gain;bleeding,Mild,Over-the-counter medications and rest,Calcium and vitamin D rich foods,dermatological condition requiring medical management
Pemphigus,weakness;bleeding;dry skin,Severe,Emergency intervention and life support may be necessary,Iron-rich foods with vitamin C enhancement,Acute dermatological condition needing prompt treatment
Bullous Pemphigoid,fatigue;weight loss;bruising;itching;swelling,Mild,Over-the-counter medications and rest,Calcium and vitamin D rich foods,Chronic dermatological disease requiring ongoing care
Cutaneous Lupus,weight gain;skin rash;redness,Mild,Lifestyle modifications and preventive measures,Probiotic foods and gut-healthy nutrition,Complex dermatological disorder affecting quality of life
Scleroderma,skin rash;weight loss;night sweats,Mild,Lifestyle modifications and preventive measures,Balanced nutrition with adequate protein and vitamins,Serious dermatological condition with potential complications
Dermatomyositis,night sweats;fever;weakness;bruising,Mild,Self-care measures and symptom monitoring,"Low sodium, heart-healthy Mediterranean diet",Chronic dermatological disease requiring ongoing care
Iron Deficiency Anemia,night sweats;bleeding;weakness,Mild,Lifestyle modifications and preventive measures,Probiotic foods and gut-healthy nutrition,Complex hematological disorder affecting quality of life
Vitamin B12 Deficiency Anemia,loss of appetite;night sweats;weakness;weight gain;fatigue,Moderate,Specialist consultation recommended,Probiotic foods and gut-healthy nutrition,Chronic hematological disease requiring ongoing care
Folate Deficiency Anemia,night sweats;weakness;fever;loss of appetite,Severe,Hospitalization and intensive monitoring needed,Diabetic-friendly low glycemic index foods,Chronic hematological disease requiring ongoing care
Chronic Disease Anemia,bleeding;bruising;fever;chills;weakness,Moderate,Regular diagnostic testing and assessment required,Diabetic-friendly low glycemic index foods,Serious hematological condition with potential complications
Hemolytic Anemia,fatigue;weight gain;fever,Severe,Immediate emergency medical attention required,Balanced nutrition with adequate protein and vitamins,Complex hematological disorder affecting quality of life
Sickle Cell Disease,bleeding;weakness;weight gain,Mild,Over-the-counter medications and rest,Iron-rich foods with vitamin C enhancement,Serious hematological condition with potential complications
Thalassemia,weakness;loss of appetite;bleeding;weight loss;night sweats;fatigue;fever,Mild,Primary care consultation if symptoms persist,Diabetic-friendly low glycemic index foods,Acute hematological condition needing prompt treatment
Aplastic Anemia,weakness;night sweats;bruising;weight loss;weakness,Moderate,Regular diagnostic testing and assessment required,"Low sodium, heart-healthy Mediterranean diet",Complex hematological disorder affecting quality of life
Myelodysplastic Syndrome,fever;bruising;weakness;night sweats,Moderate,Regular medical follow-up and monitoring required,"Soft diet with small, frequent meals",hematological condition requiring medical management
Acute Myeloid Leukemia,loss of appetite;weakness;fatigue;fever;weight loss;chills;bruising,Severe,Immediate emergency medical attention required,Calcium and vitamin D rich foods,hematological condition requiring medical management
Acute Lymphoblastic Leukemia,night sweats;bleeding;chills,Severe,Urgent specialist consultation required,"High fiber, low processed food diet",Acute hematological condition needing prompt treatment
Chronic Myeloid Leukemia,bleeding;weakness;weakness;weight loss;chills;bruising;fever,Severe,Urgent specialist consultation required,Iron-rich foods with vitamin C enhancement,Chronic hematological disease requiring ongoing care
Chronic Lymphocytic Leukemia,fever;loss of appetite;bruising,Severe,Urgent specialist consultation required,Iron-rich foods with vitamin C enhancement,Serious hematological condition with potential complications
Hodgkin Lymphoma,bruising;weakness;weakness;bleeding;night sweats;weight loss,Severe,Emergency intervention and life support may be necessary,Probiotic foods and gut-healthy nutrition,Serious hematological condition with potential complications
Non-Hodgkin Lymphoma,chills;bruising;weight gain,Severe,Hospitalization and intensive monitoring needed,Iron-rich foods with vitamin C enhancement,Complex hematological disorder affecting quality of life
Multiple Myeloma,weight gain;weakness;fatigue;fever;weakness;bleeding,Severe,Urgent specialist consultation required,Probiotic foods and gut-healthy nutrition,hematological condition requiring medical management
Waldenstrom Macroglobulinemia,fever;weight gain;bruising;night sweats;weight loss;fatigue,Mild,Over-the-counter medications and rest,Calcium and vitamin D rich foods,hematological condition requiring medical management
Polycythemia Vera,bruising;fever;fatigue;bleeding;weight loss,Mild,Primary care consultation if symptoms persist,"Low sodium, heart-healthy Mediterranean diet",Chronic hematological disease requiring ongoing care
Essential Thrombocythemia,chills;weakness;bruising;fatigue,Moderate,Regular medical follow-up and monitoring required,Adequate hydration and nutrient-dense foods,Acute hematological condition needing prompt treatment
Primary Myelofibrosis,fatigue;weight loss;weight gain;fever;weakness,Moderate,Regular diagnostic testing and assessment required,Adequate hydration and nutrient-dense foods,hematological condition requiring medical management
Thrombotic Thrombocytopenic Purpura,chills;fatigue;weight loss;bruising;bleeding,Moderate,Medication compliance and lifestyle modifications needed,"Soft diet with small, frequent meals",Complex hematological disorder affecting quality of life
Idiopathic Thrombocytopenic Purpura,bruising;weight gain;weight loss;weakness;chills;bleeding,Mild,Primary care consultation if symptoms persist,Anti-inflammatory diet rich in omega-3 fatty acids,Serious hematological condition with potential complications
Hemophilia A,chills;weakness;bleeding;weight loss;weight gain,Moderate,Regular medical follow-up and monitoring required,Calcium and vitamin D rich foods,Serious hematological condition with potential complications
Hemophilia B,fatigue;weakness;fever;weight loss;loss of appetite;weakness,Moderate,Regular medical follow-up and monitoring required,Balanced nutrition with adequate protein and vitamins,Complex hematological disorder affecting quality of life
Von Willebrand Disease,weight loss;night sweats;weakness;bruising;chills,Mild,Lifestyle modifications and preventive measures,Calcium and vitamin D rich foods,Serious hematological condition with potential complications
Disseminated Intravascular Coagulation,weakness;bruising;bleeding;weakness,Moderate,Specialist consultation recommended,Balanced nutrition with adequate protein and vitamins,Chronic hematological disease requiring ongoing care
Major Depressive Disorder,sleep problems;confusion;dizziness;memory loss;concentration problems;irritability,Moderate,Medication compliance and lifestyle modifications needed,"High fiber, low processed food diet",psychiatric condition requiring medical management
Bipolar I Disorder,memory loss;concentration problems;tingling;anxiety;depression;seizures;paralysis,Moderate,Specialist consultation recommended,Adequate hydration and nutrient-dense foods,Serious psychiatric condition with potential complications
Bipolar II Disorder,concentration problems;sleep problems;depression;mood changes,Severe,Emergency intervention and life support may be necessary,Calcium and vitamin D rich foods,Acute psychiatric condition needing prompt treatment
Cyclothymic Disorder,seizures;confusion;headache;mood changes;anxiety;memory loss;irritability,Moderate,Specialist consultation recommended,"Low sodium, heart-healthy Mediterranean diet",Chronic psychiatric disease requiring ongoing care
Generalized Anxiety Disorder,numbness;sleep problems;anxiety;paralysis;confusion;headache;seizures,Severe,Immediate emergency medical attention required,Balanced nutrition with adequate protein and vitamins,Chronic psychiatric disease requiring ongoing care
Panic Disorder,paralysis;seizures;sleep problems;irritability;concentration problems;memory loss;tingling,Severe,Immediate emergency medical attention required,Calcium and vitamin D rich foods,psychiatric condition requiring medical management
Social Anxiety Disorder,dizziness;tremor;paralysis,Moderate,Medication compliance and lifestyle modifications needed,"Low sodium, heart-healthy Mediterranean diet",Complex psychiatric disorder affecting quality of life
Specific Phobias,mood changes;dizziness;confusion,Severe,Emergency intervention and life support may be necessary,"Low sodium, heart-healthy Mediterranean diet",Serious psychiatric condition with potential complications
Obsessive Compulsive Disorder,mood changes;sleep problems;seizures;tremor;paralysis,Moderate,Medication compliance and lifestyle modifications needed,Anti-inflammatory diet rich in omega-3 fatty acids,psychiatric condition requiring medical management
Post Traumatic Stress Disorder,sleep problems;mood changes;confusion;headache;tingling;depression;dizziness,Moderate,Regular diagnostic testing and assessment required,"Soft diet with small, frequent meals",Chronic psychiatric disease requiring ongoing care
Acute Stress Disorder,paralysis;sleep problems;concentration problems;tingling;mood changes,Severe,Hospitalization and intensive monitoring needed,Diabetic-friendly low glycemic index foods,Acute psychiatric condition needing prompt treatment
Adjustment Disorders,sleep problems;tremor;dizziness;numbness,Severe,Urgent specialist consultation required,"Soft diet with small, frequent meals",Chronic psychiatric disease requiring ongoing care
Schizophrenia,seizures;memory loss;numbness;sleep problems;anxiety,Severe,Hospitalization and intensive monitoring needed,"Low sodium, heart-healthy Mediterranean diet",Acute psychiatric condition needing prompt treatment
Schizoaffective Disorder,headache;depression;concentration problems;sleep problems;seizures;paralysis;confusion,Severe,Immediate emergency medical attention required,"High fiber, low processed food diet",Complex psychiatric disorder affecting quality of life
Delusional Disorder,anxiety;paralysis;seizures;irritability;confusion;memory loss;headache,Severe,Urgent specialist consultation required,Adequate hydration and nutrient-dense foods,psychiatric condition requiring medical management
Brief Psychotic Disorder,sleep problems;concentration problems;dizziness;headache;irritability;tremor,Severe,Immediate emergency medical attention required,"Soft diet with small, frequent meals",Chronic psychiatric disease requiring ongoing care
Substance Use Disorders,concentration problems;confusion;paralysis;numbness,Severe,Urgent specialist consultation required,Calcium and vitamin D rich foods,Complex psychiatric disorder affecting quality of life
Alcohol Use Disorder,seizures;tremor;confusion;memory loss,Moderate,Specialist consultation recommended,Iron-rich foods with vitamin C enhancement,Serious psychiatric condition with potential complications
Attention Deficit Hyperactivity Disorder,dizziness;mood changes;numbness;memory loss;irritability,Severe,Hospitalization and intensive monitoring needed,Probiotic foods and gut-healthy nutrition,Complex psychiatric disorder affecting quality of life
Autism Spectrum Disorder,mood changes;numbness;tremor,Severe,Urgent specialist consultation required,Anti-inflammatory diet rich in omega-3 fatty acids,Acute psychiatric condition needing prompt treatment
Intellectual Disability,paralysis;mood changes;headache,Mild,Self-care measures and symptom monitoring,"Low sodium, heart-healthy Mediterranean diet",Complex psychiatric disorder affecting quality of life
Anorexia Nervosa,tremor;confusion;paralysis,Mild,Primary care consultation if symptoms persist,Diabetic-friendly low glycemic index foods,psychiatric condition requiring medical management
Bulimia Nervosa,irritability;depression;tremor;anxiety;mood changes;confusion,Mild,Self-care measures and symptom monitoring,"Low sodium, heart-healthy Mediterranean diet",Acute psychiatric condition needing prompt treatment
Binge Eating Disorder,paralysis;anxiety;concentration problems;headache;depression;irritability;mood changes,Moderate,Regular medical follow-up and monitoring required,Probiotic foods and gut-healthy nutrition,Complex psychiatric disorder affecting quality of life
Body Dysmorphic Disorder,sleep problems;concentration problems;anxiety;confusion,Severe,Hospitalization and intensive monitoring needed,Probiotic foods and gut-healthy nutrition,Chronic psychiatric disease requiring ongoing care
Dissociative Identity Disorder,seizures;concentration problems;mood changes;tingling;anxiety;tremor;irritability,Severe,Emergency intervention and life support may be necessary,Anti-inflammatory diet rich in omega-3 fatty acids,Complex psychiatric disorder affecting quality of life
Borderline Personality Disorder,memory loss;anxiety;tingling;tremor;mood changes;dizziness,Severe,Immediate emergency medical attention required,Anti-inflammatory diet rich in omega-3 fatty acids,psychiatric condition requiring medical management
Antisocial Personality Disorder,irritability;headache;tremor;tingling;numbness;sleep problems;anxiety,Moderate,Specialist consultation recommended,Balanced nutrition with adequate protein and vitamins,Serious psychiatric condition with potential complications
Cataracts,vision loss;floaters;dizziness;confusion;eye pain,Moderate,Medication compliance and lifestyle modifications needed,Calcium and vitamin D rich foods,ophthalmological condition requiring medical management
Glaucoma,tingling;eye pain;headache;confusion;paralysis;tremor,Severe,Urgent specialist consultation required,Adequate hydration and nutrient-dense foods,Serious ophthalmological condition with potential complications
Age-related Macular Degeneration,dizziness;confusion;watery eyes;dry eyes,Severe,Emergency intervention and life support may be necessary,"Low sodium, heart-healthy Mediterranean diet",ophthalmological condition requiring medical management
Diabetic Retinopathy,memory loss;tremor;tingling,Severe,Emergency intervention and life support may be necessary,Iron-rich foods with vitamin C enhancement,Chronic ophthalmological disease requiring ongoing care
Hypertensive Retinopathy,blurred vision;tremor;dizziness;watery eyes;seizures;floaters,Mild,Over-the-counter medications and rest,"High fiber, low processed food diet",Chronic ophthalmological disease requiring ongoing care
Retinal Detachment,watery eyes;floaters;vision loss;paralysis;numbness;dizziness;sensitivity to light,Moderate,Specialist consultation recommended,Anti-inflammatory diet rich in omega-3 fatty acids,Complex ophthalmological disorder affecting quality of life
Retinal Vein Occlusion,memory loss;watery eyes;seizures;numbness;blurred vision;sensitivity to light,Moderate,Medication compliance and lifestyle modifications needed,Calcium and vitamin D rich foods,Acute ophthalmological condition needing prompt treatment
Retinal Artery Occlusion,tingling;vision loss;numbness,Severe,Hospitalization and intensive monitoring needed,Calcium and vitamin D rich foods,ophthalmological condition requiring medical management
Macular Hole,dizziness;eye pain;vision loss;blurred vision;paralysis;seizures,Moderate,Regular diagnostic testing and assessment required,Iron-rich foods with vitamin C enhancement,Acute ophthalmological condition needing prompt treatment
Epiretinal Membrane,vision loss;memory loss;blurred vision;seizures,Mild,Lifestyle modifications and preventive measures,Anti-inflammatory diet rich in omega-3 fatty acids,Acute ophthalmological condition needing prompt treatment
Uveitis,dizziness;dry eyes;eye pain;watery eyes,Severe,Emergency intervention and life support may be necessary,Probiotic foods and gut-healthy nutrition,Complex ophthalmological disorder affecting quality of life
Optic Neuritis,watery eyes;headache;eye pain;numbness,Moderate,Medication compliance and lifestyle modifications needed,"High fiber, low processed food diet",Serious ophthalmological condition with potential complications
Papilledema,blurred vision;paralysis;seizures;floaters;sensitivity to light;confusion,Mild,Over-the-counter medications and rest,Adequate hydration and nutrient-dense foods,ophthalmological condition requiring medical management
Optic Atrophy,headache;floaters;eye pain;paralysis;tremor;memory loss;dry eyes,Moderate,Regular diagnostic testing and assessment required,Probiotic foods and gut-healthy nutrition,Acute ophthalmological condition needing prompt treatment
Keratitis,dry eyes;tremor;seizures;numbness;paralysis;headache;sensitivity to light,Severe,Immediate emergency medical attention required,Diabetic-friendly low glycemic index foods,Acute ophthalmological condition needing prompt treatment
Corneal Ulcer,watery eyes;vision loss;sensitivity to light;memory loss,Severe,Hospitalization and intensive monitoring needed,Probiotic foods and gut-healthy nutrition,Complex ophthalmological disorder affecting quality of life
Dry Eye Syndrome,sensitivity to light;tingling;tremor;seizures;dizziness;dry eyes,Moderate,Regular medical follow-up and monitoring required,"High fiber, low processed food diet",Chronic ophthalmological disease requiring ongoing care
